model,kernel_size,seed,best_val_accuracy_pct,best_qat_val_accuracy_pct,best_float_val_accuracy_pct,parameter_count,macs_per_image,best_epoch,duration_seconds,summary_path
model2,2,42,91.85185185185185,91.85185185185185,91.88888888888889,267944,1051136,88,355.57690834999084,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k2/seed42/20260719-072949/summary.json
model2,2,43,91.37037037037037,91.37037037037037,91.37037037037037,267944,1051136,90,345.43955516815186,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k2/seed43/20260719-075530/summary.json
model2,2,44,91.27777777777779,91.27777777777779,91.20370370370371,267944,1051136,94,373.29770374298096,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k2/seed44/20260719-082146/summary.json
model2,3,42,92.92592592592592,92.92592592592592,92.83333333333333,271144,1870336,91,355.04866099357605,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k3/seed42/20260719-072350/summary.json
model2,3,43,92.81481481481481,92.81481481481481,92.62962962962963,271144,1870336,91,344.49344873428345,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k3/seed43/20260719-074942/summary.json
model2,3,44,94.22222222222221,94.22222222222221,94.07407407407408,271144,1870336,99,367.86059522628784,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model2/k3/seed44/20260719-081534/summary.json
model3,2,42,92.0,92.0,91.9074074074074,267944,1051136,93,416.93712043762207,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k2/seed42/20260719-074241/summary.json
model3,2,43,91.68518518518518,91.68518518518518,91.66666666666666,267944,1051136,92,430.4757914543152,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k2/seed43/20260719-080818/summary.json
model3,2,44,91.66666666666666,91.66666666666666,91.57407407407408,267944,1051136,92,398.73240208625793,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k2/seed44/20260719-083455/summary.json
model3,3,42,93.31481481481482,93.31481481481482,93.16666666666666,271144,1870336,90,407.0015778541565,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k3/seed42/20260719-073549/summary.json
model3,3,43,92.68518518518518,92.68518518518518,92.57407407407408,271144,1870336,85,414.17378640174866,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k3/seed43/20260719-080120/summary.json
model3,3,44,93.0925925925926,93.0925925925926,93.03703703703704,271144,1870336,87,407.2579743862152,/home/tao/jichuangsai/Ltsimulator-EuroSAT-3x3/experiments/kernel_2x2_vs_3x3/results/model3/k3/seed44/20260719-082803/summary.json
