==============================================================================
  Model 5 (J1-RF+): stem k5 + stage2 3×3 | 光计算 QAT | phase=clean
  链路: v5 干净 → v8 漂移鲁棒 → 容器 osim 验证 → 真机验证
  日志: runs/m5_j1rf_stem5_clean\metrics.jsonl
==============================================================================
params=100,250 | MACs=5,309,696 (5.31M)
[prepare_model_v5] HW-aligned QAT: w8/a8/o12, out_noise=True(r=0.0392), out_quant=True, act=osim, 8 QAT layers

[训练] 160 ep | lr=0.05 warmup=5 | SGD+momentum | batch=64 workers=0
------------------------------------------------------------------------------
  Epoch | Train loss/acc        | Val loss/acc         | Best     | LR      | Time
------------------------------------------------------------------------------
C:\Users\lhh\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\utils\data\dataloader.py:666: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  warnings.warn(warn_msg)
      1 | 1.1300  65.42%        | 0.9724  64.65%         |  64.65% | 0.01000 |    62s
      2 | 0.8329  77.73%        | 0.5690  80.43%         |  80.43% | 0.02000 |    65s
      3 | 0.8058  79.07%        | 1.0620  67.07%         |  80.43% | 0.03000 |    65s
      4 | 0.7923  79.82%        | 0.6871  76.39%         |  80.43% | 0.04000 |    61s
      5 | 0.7749  80.86%        | 0.9911  66.83%         |  80.43% | 0.05000 |    61s
      6 | 0.7633  81.54%        | 0.6061  79.81%         |  80.43% | 0.04999 |    62s
      7 | 0.6963  83.85%        | 0.6906  76.44%         |  80.43% | 0.04998 |    64s
      8 | 0.6678  85.07%        | 0.6200  79.02%         |  80.43% | 0.04995 |    61s
      9 | 0.6481  85.78%        | 0.8087  75.78%         |  80.43% | 0.04992 |    62s
     10 | 0.6329  86.51%        | 0.5438  81.41%         |  81.41% | 0.04987 |    64s
     11 | 0.6151  87.16%        | 0.7378  75.09%         |  81.41% | 0.04982 |    63s
     12 | 0.6031  87.70%        | 2.0066  60.48%         |  81.41% | 0.04975 |    63s
     13 | 0.5983  87.62%        | 1.0598  67.56%         |  81.41% | 0.04968 |    61s
     14 | 0.5837  88.35%        | 1.1296  73.89%         |  81.41% | 0.04959 |    60s
     15 | 0.5856  88.27%        | 3.4718  38.41%         |  81.41% | 0.04949 |    61s
     16 | 0.5876  88.30%        | 0.4850  83.69%         |  83.69% | 0.04939 |    58s
     17 | 0.5521  89.64%        | 0.8267  71.91%         |  83.69% | 0.04927 |    61s
     18 | 0.5605  89.43%        | 0.4380  84.89%         |  84.89% | 0.04915 |    61s
     19 | 0.5478  89.72%        | 0.4575  85.22%         |  85.22% | 0.04901 |    63s
     20 | 0.5576  89.18%        | 1.3970  61.67%         |  85.22% | 0.04886 |    63s
     21 | 0.5373  90.13%        | 1.0667  72.94%         |  85.22% | 0.04871 |    59s
     22 | 0.5328  90.42%        | 1.3143  64.02%         |  85.22% | 0.04855 |    58s
     23 | 0.5406  90.10%        | 1.7949  62.70%         |  85.22% | 0.04837 |    59s
     24 | 0.5375  90.12%        | 0.9538  71.57%         |  85.22% | 0.04819 |    58s
     25 | 0.5226  90.70%        | 0.9383  70.67%         |  85.22% | 0.04799 |    59s
     26 | 0.5372  90.36%        | 1.6004  63.41%         |  85.22% | 0.04779 |    59s
     27 | 0.5325  90.62%        | 0.5241  82.70%         |  85.22% | 0.04758 |    58s
     28 | 0.5323  90.19%        | 0.7781  73.94%         |  85.22% | 0.04736 |    57s
     29 | 0.5203  90.91%        | 0.8197  77.11%         |  85.22% | 0.04713 |    58s
     30 | 0.5250  90.49%        | 2.0607  51.83%         |  85.22% | 0.04689 |    60s
     31 | 0.5194  91.03%        | 0.3850  87.69%         |  87.69% | 0.04664 |    53s
     32 | 0.5133  91.34%        | 1.5788  66.91%         |  87.69% | 0.04639 |    55s
     33 | 0.5305  90.60%        | 0.7794  77.06%         |  87.69% | 0.04612 |    59s
     34 | 0.5031  91.50%        | 0.7593  77.76%         |  87.69% | 0.04585 |    59s
     35 | 0.5142  91.03%        | 1.5349  67.22%         |  87.69% | 0.04556 |    59s
     36 | 0.5006  91.68%        | 0.7783  77.13%         |  87.69% | 0.04527 |    55s
     37 | 0.5175  91.04%        | 1.4552  70.70%         |  87.69% | 0.04497 |    54s
     38 | 0.5067  91.17%        | 1.8197  49.93%         |  87.69% | 0.04467 |    57s
     39 | 0.5146  91.05%        | 1.0209  73.11%         |  87.69% | 0.04435 |    62s
     40 | 0.5022  91.75%        | 0.8513  75.31%         |  87.69% | 0.04403 |    63s
     41 | 0.5134  91.24%        | 0.3519  89.26%         |  89.26% | 0.04370 |    60s
     42 | 0.4798  92.64%        | 0.3942  87.20%         |  89.26% | 0.04336 |    59s
     43 | 0.4848  92.22%        | 1.1723  72.70%         |  89.26% | 0.04301 |    61s
     44 | 0.4938  91.96%        | 0.5981  79.02%         |  89.26% | 0.04266 |    61s
     45 | 0.5047  91.48%        | 1.7378  67.54%         |  89.26% | 0.04230 |    61s
     46 | 0.4864  92.30%        | 2.1198  51.57%         |  89.26% | 0.04193 |    62s
     47 | 0.5064  91.43%        | 0.7532  78.61%         |  89.26% | 0.04156 |    63s
     48 | 0.4851  92.38%        | 0.3940  86.85%         |  89.26% | 0.04118 |    61s
     49 | 0.4827  92.36%        | 1.0716  75.69%         |  89.26% | 0.04079 |    60s
