==============================================================================
  Model 6 (J1+head256): ≤2M 严格预算 | 光计算 QAT | phase=clean
  链路: v5 干净 → v8 漂移鲁棒 → 容器 osim 验证 → 真机验证
  日志: runs/m6_j1_clean\metrics.jsonl
==============================================================================
params=50,330 | MACs=1,377,536 (1.38M)
[prepare_model_v5] HW-aligned QAT: w8/a8/o12, out_noise=True(r=0.0392), out_quant=True, act=osim, 8 QAT layers

[训练] 160 ep | lr=0.05 warmup=5 | SGD+momentum | batch=64 workers=0
------------------------------------------------------------------------------
  Epoch | Train loss/acc        | Val loss/acc         | Best     | LR      | Time
------------------------------------------------------------------------------
C:\Users\lhh\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\utils\data\dataloader.py:666: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  warnings.warn(warn_msg)
      1 | 1.0849  67.38%        | 0.7823  71.72%         |  71.72% | 0.01000 |    57s
      2 | 0.7875  80.05%        | 0.6927  74.93%         |  74.93% | 0.02000 |    51s
      3 | 0.7421  82.11%        | 0.6021  78.43%         |  78.43% | 0.03000 |    59s
      4 | 0.7330  82.30%        | 1.2764  69.41%         |  78.43% | 0.04000 |    60s
      5 | 0.7104  83.52%        | 1.5853  61.13%         |  78.43% | 0.05000 |    60s
      6 | 0.6773  84.80%        | 0.5713  79.63%         |  79.63% | 0.04999 |    56s
      7 | 0.6597  85.53%        | 0.9256  74.76%         |  79.63% | 0.04998 |    57s
      8 | 0.6457  86.26%        | 1.1897  71.54%         |  79.63% | 0.04995 |    57s
      9 | 0.6207  87.02%        | 0.5448  81.67%         |  81.67% | 0.04992 |    57s
     10 | 0.6205  87.15%        | 0.9029  73.22%         |  81.67% | 0.04987 |    57s
     11 | 0.6042  87.66%        | 0.4394  85.87%         |  85.87% | 0.04982 |    59s
     12 | 0.5878  88.38%        | 0.8705  74.37%         |  85.87% | 0.04975 |    60s
     13 | 0.5899  88.35%        | 2.0104  56.78%         |  85.87% | 0.04968 |    57s
     14 | 0.5847  88.54%        | 1.4396  65.09%         |  85.87% | 0.04959 |    57s
     15 | 0.5900  88.41%        | 1.8794  61.04%         |  85.87% | 0.04949 |    58s
     16 | 0.5940  88.18%        | 0.6508  77.70%         |  85.87% | 0.04939 |    57s
     17 | 0.5732  89.18%        | 0.7584  77.02%         |  85.87% | 0.04927 |    56s
     18 | 0.5812  88.75%        | 0.7345  74.91%         |  85.87% | 0.04915 |    59s
     19 | 0.5677  89.15%        | 0.7680  75.26%         |  85.87% | 0.04901 |    59s
     20 | 0.5675  88.99%        | 0.8654  72.37%         |  85.87% | 0.04886 |    50s
     21 | 0.5665  89.16%        | 2.0714  51.52%         |  85.87% | 0.04871 |    58s
     22 | 0.5656  89.01%        | 0.4799  83.33%         |  85.87% | 0.04855 |    59s
     23 | 0.5687  88.89%        | 0.9086  70.67%         |  85.87% | 0.04837 |    57s
     24 | 0.5756  88.84%        | 0.3206  89.91%         |  89.91% | 0.04819 |    59s
     25 | 0.5678  89.21%        | 1.6491  58.22%         |  89.91% | 0.04799 |    58s
     26 | 0.5593  89.69%        | 2.7970  50.85%         |  89.91% | 0.04779 |    57s
     27 | 0.5515  89.75%        | 0.7055  77.93%         |  89.91% | 0.04758 |    57s
     28 | 0.5594  89.64%        | 0.4982  84.30%         |  89.91% | 0.04736 |    58s
     29 | 0.5569  89.73%        | 0.7904  72.83%         |  89.91% | 0.04713 |    59s
     30 | 0.5572  89.60%        | 1.0474  72.04%         |  89.91% | 0.04689 |    59s
     31 | 0.5457  89.85%        | 1.2543  68.67%         |  89.91% | 0.04664 |    57s
     32 | 0.5489  89.77%        | 1.8925  49.59%         |  89.91% | 0.04639 |    60s
     33 | 0.5617  89.35%        | 1.0652  72.93%         |  89.91% | 0.04612 |    59s
     34 | 0.5462  90.10%        | 2.6315  53.24%         |  89.91% | 0.04585 |    29s
     35 | 0.5487  89.76%        | 1.0613  71.43%         |  89.91% | 0.04556 |    57s
     36 | 0.5518  89.75%        | 0.3078  90.07%         |  90.07% | 0.04527 |    62s
     37 | 0.5414  90.21%        | 1.5301  63.76%         |  90.07% | 0.04497 |    77s
     38 | 0.5452  90.23%        | 1.0069  73.37%         |  90.07% | 0.04467 |    60s
     39 | 0.5355  90.23%        | 0.9090  71.65%         |  90.07% | 0.04435 |    55s
     40 | 0.5358  90.31%        | 0.3566  88.19%         |  90.07% | 0.04403 |    56s
     41 | 0.5406  90.02%        | 1.0041  72.28%         |  90.07% | 0.04370 |    56s
     42 | 0.5342  90.46%        | 0.5710  81.06%         |  90.07% | 0.04336 |    58s
     43 | 0.5365  90.41%        | 1.5861  63.13%         |  90.07% | 0.04301 |    57s
     44 | 0.5381  90.40%        | 0.4745  83.69%         |  90.07% | 0.04266 |    57s
     45 | 0.5259  90.73%        | 1.1327  65.48%         |  90.07% | 0.04230 |    56s
     46 | 0.5382  90.38%        | 0.3381  89.57%         |  90.07% | 0.04193 |    57s
     47 | 0.5245  90.98%        | 1.0949  73.26%         |  90.07% | 0.04156 |    57s
     48 | 0.5355  90.23%        | 0.9498  76.00%         |  90.07% | 0.04118 |    53s
     49 | 0.5224  90.86%        | 2.0093  59.61%         |  90.07% | 0.04079 |    58s
